Versjon;Ansvar;Beløp;Oppdatert;;;;;;;;;;;;;;;
2021PVBEND;021090;-336380;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;061050;-112522;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021070;-286000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061110;0;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021100;95000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021050;9000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;051010;64000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;011010;199608;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;051010;172000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021030;-473037;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021030;-695243;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;011070;-862000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021040;279000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;051070;158000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061120;919000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041020;-368654;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;061040;0;3/12/2021;;;;;;;;;;;;;;;
2021PVBEND;041050;993923;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;850000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;041010;195000;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021010;199574;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;061070;-132000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;031020;-75000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;011070;14000;10/11/2021;;;;;;;;;;;;;;;
2021PVBEND;031030;482000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;021080;648602;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;041070;117000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;061050;294101;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;061170;258000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;041100;-116784;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;021080;-38000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061160;-23000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;051072;22000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061140;86000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061010;472515;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;021020;170000;5/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061120;-111000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;021050;115000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061130;442000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;011090;-1677645;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;041030;-271538;7/16/2021;;;;;;;;;;;;;;;
2021PVBEND;041070;235725;9/24/2021;;;;;;;;;;;;;;;
2021PVBEND;041060;67000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;011050;74000;1/24/2022;;;;;;;;;;;;;;;
2021PVBEND;041090;407661;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;021110;547000;12/10/2021;;;;;;;;;;;;;;;
2021PVBEND;061060;395000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;041020;3114866;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;021060;269029;1/31/2022;;;;;;;;;;;;;;;
2021PVBEND;011010;-30000;4/20/2021;;;;;;;;;;;;;;;
2021PVBEND;061170;-109000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;021120;572036;3/9/2021;;;;;;;;;;;;;;;
2021PVBEND;011050;-236000;11/8/2021;;;;;;;;;;;;;;;
2021PVBEND;061100;78000;11/8/2021;;;;;;;;;;;;;;;
