Enhet;Måned;År;Regnskap
E021080 - Solbakken skole;11;2021;1 112 570
E021080 - Solbakken skole;12;2021;495 340
E021090 - Vikåsen skole;1;2021;2 155 650
E021090 - Vikåsen skole;2;2021;2 312 150
E021090 - Vikåsen skole;3;2021;2 252 860
E021090 - Vikåsen skole;4;2021;2 166 160
E021090 - Vikåsen skole;5;2021;2 051 090
E021090 - Vikåsen skole;6;2021;-422 960
E021090 - Vikåsen skole;7;2021;2 358 810
E021090 - Vikåsen skole;8;2021;1 974 030
E021090 - Vikåsen skole;9;2021;2 365 400
E021090 - Vikåsen skole;10;2021;2 444 530
E021090 - Vikåsen skole;11;2021;2 768 560
E021090 - Vikåsen skole;12;2021;2 479 170
E021100 - Åsvang skole;1;2021;3 095 400
E021100 - Åsvang skole;2;2021;3 563 520
E021100 - Åsvang skole;3;2021;3 625 450
E021100 - Åsvang skole;4;2021;3 459 990
E021100 - Åsvang skole;5;2021;3 326 260
E021100 - Åsvang skole;6;2021;-858 810
E021100 - Åsvang skole;7;2021;3 422 540
E021100 - Åsvang skole;8;2021;4 140 500
E021100 - Åsvang skole;9;2021;4 218 150
E021100 - Åsvang skole;10;2021;3 857 180
E021100 - Åsvang skole;11;2021;3 383 240
E021100 - Åsvang skole;12;2021;1 602 550
E021110 - Markaplassen skole;1;2021;3 137 630
E021110 - Markaplassen skole;2;2021;3 622 850
E021110 - Markaplassen skole;3;2021;3 714 650
E021110 - Markaplassen skole;4;2021;3 557 970
E021110 - Markaplassen skole;5;2021;3 129 050
E021110 - Markaplassen skole;6;2021;-604 260
E021110 - Markaplassen skole;7;2021;2 225 320
E021110 - Markaplassen skole;8;2021;3 636 100
E021110 - Markaplassen skole;9;2021;3 450 970
E021110 - Markaplassen skole;10;2021;4 174 070
E021110 - Markaplassen skole;11;2021;3 639 420
E021110 - Markaplassen skole;12;2021;2 514 140
E021120 - Jakobsli skole;1;2021;1 452 130
E021120 - Jakobsli skole;2;2021;1 608 410
E021120 - Jakobsli skole;3;2021;1 521 170
E021120 - Jakobsli skole;4;2021;1 674 060
E021120 - Jakobsli skole;5;2021;1 325 610
E021120 - Jakobsli skole;6;2021;-184 470
E021120 - Jakobsli skole;7;2021;1 343 600
E021120 - Jakobsli skole;8;2021;1 427 420
E021120 - Jakobsli skole;9;2021;1 957 330
E021120 - Jakobsli skole;10;2021;1 628 860
E021120 - Jakobsli skole;11;2021;1 062 050
E021120 - Jakobsli skole;12;2021;373 440
E031010 - Bratsberg skole;1;2021;924 350
